"Report.Number","Occurred.Date","Occurred.Time","Reported.Date","Reported.Time","Crime.Subcategory","Primary.Offense.Description","Precinct","Sector","Neighborhood"
20180000170494,2018-05-13,353,2018-05-13,353,"BURGLARY-RESIDENTIAL-SECURE PARKING","BURGLARY-SECURE PARKING-RES","EAST","G","FIRST HILL"
20180000170487,2018-05-13,338,2018-05-13,357,"TRESPASS","TRESPASS","NORTH","U","SANDPOINT"
20180000170587,2018-05-13,300,2018-05-13,744,"CAR PROWL","THEFT-CARPROWL","NORTH","U","UNIVERSITY"
20180000170657,2018-05-13,300,2018-05-13,934,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","NORTH","U","SANDPOINT"
20180000170471,2018-05-13,256,2018-05-13,256,"WEAPON","WEAPON-UNLAWFUL USE","EAST","E","CAPITOL HILL"
20180000170382,2018-05-13,243,2018-05-13,243,"TRESPASS","TRESPASS","EAST","E","CAPITOL HILL"
20180000170462,2018-05-13,235,2018-05-13,235,"BURGLARY-RESIDENTIAL","BURGLARY-FORCE-RES","EAST","C","MILLER PARK"
20180000170459,2018-05-13,234,2018-05-13,234,"DUI","DUI-LIQUOR","SOUTHWEST","W","COMMERCIAL DUWAMISH"
20180000170458,2018-05-13,232,2018-05-13,232,"BURGLARY-COMMERCIAL","BURGLARY-FORCE-NONRES","NORTH","N","BITTERLAKE"
20180000904233,2018-05-13,202,2018-05-14,1414,"THEFT-ALL OTHER","THEFT-OTH","EAST","C","CENTRAL AREA/SQUIRE PARK"
20180000173531,2018-05-13,200,2018-05-15,1547,"CAR PROWL","THEFT-CARPROWL","WEST","Q","SLU/CASCADE"
20180000170420,2018-05-13,155,2018-05-13,312,"DUI","DUI-LIQUOR","SOUTHWEST","W","ALASKA JUNCTION"
20180000170416,2018-05-13,153,2018-05-13,153,"BURGLARY-RESIDENTIAL-SECURE PARKING","BURGLARY-SECURE PARKING-RES","EAST","G","JUDKINS PARK/NORTH BEACON HILL"
20180000170402,2018-05-13,132,2018-05-13,132,"LIQUOR LAW VIOLATION","LIQUOR LAW VIOLATION","SOUTH","O","SODO"
20180000170398,2018-05-13,124,2018-05-13,217,"TRESPASS","TRESPASS","WEST","Q","QUEEN ANNE"
20180000170394,2018-05-13,123,2018-05-13,531,"DUI","DUI-LIQUOR","EAST","C","CAPITOL HILL"
20180000904183,2018-05-13,115,2018-05-13,1128,"THEFT-ALL OTHER","THEFT-OTH","EAST","E","CAPITOL HILL"
20180000170380,2018-05-13,109,2018-05-13,251,"AGGRAVATED ASSAULT","ASSLT-AGG-POLICE-BODYFORCE","NORTH","N","NORTHGATE"
20180000170550,2018-05-13,100,2018-05-13,625,"BURGLARY-COMMERCIAL","BURGLARY-FORCE-NONRES","WEST","D","SLU/CASCADE"
20180000170359,2018-05-13,49,2018-05-13,152,"BURGLARY-RESIDENTIAL","BURGLARY-FORCE-RES","SOUTH","S","RAINIER BEACH"
20180000170645,2018-05-13,24,2018-05-13,925,"CAR PROWL","THEFT-CARPROWL","EAST","E","FIRST HILL"
20180000170335,2018-05-13,16,2018-05-13,16,"TRESPASS","TRESPASS","WEST","D","SLU/CASCADE"
20180000170430,2018-05-13,1,2018-05-13,204,"CAR PROWL","THEFT-CARPROWL","SOUTH","O","SODO"
20180000214672,2018-05-13,1,2018-06-13,1505,"BURGLARY-RESIDENTIAL-SECURE PARKING","BURGLARY-SECURE PARKING-RES","SOUTHWEST","W","ALKI"
20180000904198,2018-05-13,0,2018-05-13,2135,"CAR PROWL","THEFT-CARPROWL","NORTH","J","GREENWOOD"
20180000191167,2018-05-13,0,2018-05-27,1624,"CAR PROWL","THEFT-LICENSE PLATE","NORTH","L","LAKECITY"
20180000204413,2018-05-13,0,2018-06-06,1059,"BURGLARY-RESIDENTIAL","BURGLARY-FORCE-RES","NORTH","U","UNIVERSITY"
20180000904264,2018-05-14,2330,2018-05-15,1106,"CAR PROWL","THEFT-CARPROWL","WEST","Q","QUEEN ANNE"
20180000173398,2018-05-14,2330,2018-05-15,1643,"THEFT-ALL OTHER","THEFT-OTH","WEST","Q","MAGNOLIA"
20180000172956,2018-05-14,2321,2018-05-14,2321,"TRESPASS","TRESPASS","EAST","E","CAPITOL HILL"
20180000904286,2018-05-14,2300,2018-05-15,1826,"CAR PROWL","THEFT-CARPROWL","SOUTHWEST","W","MORGAN"
20180000172938,2018-05-14,2257,2018-05-14,2257,"AGGRAVATED ASSAULT-DV","ASSLT-AGG-DV-BODYFORCE","WEST","K","DOWNTOWN COMMERCIAL"
20180000173195,2018-05-14,2230,2018-05-15,938,"CAR PROWL","THEFT-CARPROWL","WEST","Q","QUEEN ANNE"
20180000173288,2018-05-14,2230,2018-05-15,752,"CAR PROWL","THEFT-CARPROWL","SOUTHWEST","W","HIGH POINT"
20180000172909,2018-05-14,2224,2018-05-14,2224,"THEFT-ALL OTHER","THEFT-PKPOCKET","WEST","M","DOWNTOWN COMMERCIAL"
20180000904262,2018-05-14,2200,2018-05-15,1054,"CAR PROWL","THEFT-CARPROWL","SOUTHWEST","F","HIGHLAND PARK"
20180000904359,2018-05-14,2200,2018-05-17,2206,"THEFT-ALL OTHER","THEFT-OTH","EAST","C","CENTRAL AREA/SQUIRE PARK"
20180000904257,2018-05-14,2200,2018-05-15,909,"CAR PROWL","THEFT-CARPROWL","NORTH","J","PHINNEY RIDGE"
20180000173246,2018-05-14,2200,2018-05-15,906,"BURGLARY-COMMERCIAL","BURGLARY-FORCE-NONRES","SOUTH","R","MOUNT BAKER"
20180000172885,2018-05-14,2159,2018-05-15,111,"SEX OFFENSE-OTHER","SEXOFF-OTHER","NORTH","J","ROOSEVELT/RAVENNA"
20180000172870,2018-05-14,2140,2018-05-14,2140,"ROBBERY-STREET","ROBBERY-STREET-BODYFORCE","WEST","K","CHINATOWN/INTERNATIONAL DISTRICT"
20180000172871,2018-05-14,2139,2018-05-14,2250,"THEFT-ALL OTHER","THEFT-OTH","WEST","M","DOWNTOWN COMMERCIAL"
20180000172960,2018-05-14,2130,2018-05-14,2321,"BURGLARY-RESIDENTIAL","BURGLARY-FORCE-RES","NORTH","U","SANDPOINT"
20180000172862,2018-05-14,2130,2018-05-14,2130,"AGGRAVATED ASSAULT","ASSLT-AGG-WEAPON","EAST","E","FIRST HILL"
20180000904258,2018-05-14,2105,2018-05-15,934,"CAR PROWL","THEFT-CARPROWL","NORTH","U","ROOSEVELT/RAVENNA"
20180000172910,2018-05-14,2100,2018-05-14,2329,"CAR PROWL","THEFT-CARPROWL","EAST","G","MADRONA/LESCHI"
20180000174152,2018-05-14,2100,2018-05-15,1856,"CAR PROWL","THEFT-CARPROWL","EAST","E","FIRST HILL"
20180000173666,2018-05-14,2100,2018-05-15,2050,"THEFT-ALL OTHER","THEFT-OTH","NORTH","N","NORTHGATE"
20180000173117,2018-05-14,2100,2018-05-15,413,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","SOUTHWEST","W","MORGAN"
20180000172826,2018-05-14,2054,2018-05-14,2054,"CAR PROWL","THEFT-CARPROWL","SOUTHWEST","F","SOUTH DELRIDGE"
20180000172808,2018-05-14,2030,2018-05-14,2035,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","SOUTHWEST","F","ROXHILL/WESTWOOD/ARBOR HEIGHTS"
20180000174168,2018-05-14,2030,2018-05-15,2131,"THEFT-ALL OTHER","THEFT-OTH","WEST","Q","QUEEN ANNE"
